pdgprop,varval_text_comb,nat_ver
00P01,Adult diagnosis,est/swe/lat/ice/den/fin/nor
00P02,Child diagnosis,est/swe/lat/ice/den/fin/nor
00P11,"Face, mouth or neck diagnosis",est/swe/lat/ice/den/fin/nor
00P21,Fresh trauma or fresh trauma related diagnosis,est/swe/lat/ice/den/fin/nor
01P01,Potentiallly intracranial vascular structural changes,est/swe/lat/ice/den/fin/nor
01P04,Carpal tunnel syndrome,est/swe/lat/ice/den/fin/nor
01P05,Diabetes complicating nervous system disorder,est/swe/lat/ice/den/fin/nor
01P10,Stroke or SAB,est/swe/lat/ice/den/fin
01P11,Demyelinating disease,est/swe/lat/ice/den/fin
01P12,Spinal problem,est/swe/lat/ice/den/fin
01P13,Intracranial injury,est/swe/lat/ice/den/fin
01P14,Brain tumor,est/swe/lat/ice/den/fin
01P15,Other neurological problem,est/swe/lat/ice/den/fin
01P21,Potential symphatetic nervous system problem,est/swe/lat/ice/den/fin/nor
02P02,Diabetes complicating eye,est/swe/lat/ice/den/fin/nor
03P01,Potential mouth problem,fin
04P01,Respiratory failure,est/swe/lat/ice/den/fin
04P02,COVID-19,fin/ice/swe
04P05,Lymphatic circulation,est/swe/lat/ice/fin/nor
05P01,Aortic aneurysm,est/swe/lat/ice/den/fin/nor
05P02,Diabetes complicating circulatory system disorder,est/swe/lat/ice/den/fin/nor
05P05,Cerebral infarction,est/fin/nor/swe/ice/lat
05P10,Circulatory and respiratory problem,est/swe/lat/ice/den/fin
05P21,Varicose vein disorder,est/swe/lat/ice/den/fin/nor
06P05,Diseases with possible abdominal pain,swe/fin
06P06,Gastroenteritis,swe/fin
07P14,Hepatobiliary problem during pregnancy,est/swe/lat/ice/den/fin/nor
08P01,Fracture of lower arm,est/swe/lat/ice/den/fin
08P03,Cutaneous diagnosis with relation to deep infection,est/swe/lat/ice/den/fin/nor
08P10,"Arthrosis, arthritis or other connective tissue disease",est/swe/lat/ice/den/fin
10P01,Secondary hyperparathyroidism of renal origin,est/swe/lat/ice/den/fin/nor
10P05,Neonatal diabetes mellitus,swe/est/fin/ice/lat/nor
11P01,Diabetes complicating urinary system disorder,est/swe/lat/ice/den/fin/nor
13P01,Ovarian or adnexal malignancy,est/swe/lat/ice/den/fin/nor
13P02,Other malignancy of female reproductive system,est/swe/lat/ice/den/fin/nor
14P01,Delivery this admission,est/swe/lat/ice/den/fin
18P01,HIV or HIV related main condition,est/swe/lat/ice/den/fin/nor
21P10,Trauma,est/swe/lat/ice/den/fin
23P01,Non-defined diagnosis,est/lat/ice/den/fin
23P10,"Amputation, not traumatic",est/swe/lat/ice/den/fin
24P01,Multitrauma dx,fin
30P01,Breast cancer prophylaxis,est/swe/lat/ice/den/fin/nor
